,diseased
6935,1
7139,1
7357,1
7386,1
7846,1
7879,1
79924,1
81876,1
821,1
83939,1
83992,1
8553,1
8773,1
91543,1
9314,1
9451,1
952,1
9588,1
9637,1
100188321,1
100188807,1
100188808,1
100188825,1
117191,1
387575,1
444980,1
50986,1
51320,1
5740,1
10367,1
10599,1
1376,1
2170,1
3094,1
3363,1
383,1
440275,1
4549,1
4571,1
4572,1
5837,1
5913,1
7136,1
7273,1
729920,1
84466,1
9177,1
191,1
4713,1
54949,1
5532,1
56899,1
635,1
6622,1
815,1
10370,1
114907,1
25937,1
2688,1
84676,1
5155,1
5159,1
6575,1
80704,1
8622,1
9213,1
3113,1
3455,1
3588,1
6554,1
10253,1
10265,1
10365,1
114131,1
151,1
153572,1
26253,1
27125,1
338339,1
3482,1
3815,1
3948,1
4317,1
5156,1
5745,1
683,1
7356,1
79191,1
79192,1
976,1
100529262,1
100529264,1
10411,1
11097,1
123688,1
132320,1
1740,1
192668,1
200373,1
260431,1
283229,1
3066,1
311,1
338811,1
3658,1
388815,1
4312,1
57484,1
79890,1
80150,1
80195,1
925,1
977,1
9914,1
100126572,1
100170841,1
10038,1
10129,1
1020,1
1022,1
10561,1
10577,1
10592,1
10643,1
1066,1
10732,1
10859,1
10908,1
11006,1
11056,1
1111,1
11190,1
113510,1
114785,1
114880,1
115265,1
126129,1
1299,1
1396,1
151126,1
157313,1
1582,1
159162,1
1617,1
1633,1
169270,1
1780,1
201299,1
2071,1
22943,1
23005,1
23170,1
23221,1
23242,1
2327,1
23563,1
23683,1
239,1
2528,1
2574,1
2575,1
2576,1
2578,1
2579,1
25830,1
26022,1
266740,1
2670,1
26748,1
2707,1
27257,1
27340,1
28232,1
2838,1
2954,1
2965,1
2999,1
3044,1
30812,1
3161,1
326624,1
3364,1
3460,1
3508,1
368,1
3725,1
3904,1
4041,1
4058,1
410,1
4101,1
421,1
4314,1
4330,1
4361,1
440279,1
4548,1
4644,1
4744,1
5055,1
50999,1
51129,1
51207,1
51608,1
51646,1
5244,1
5376,1
53904,1
5445,1
5452,1
5478,1
548313,1
54842,1
54908,1
54935,1
55061,1
55075,1
55220,1
55247,1
55530,1
55644,1
55809,1
56164,1
5689,1
5695,1
57054,1
57082,1
57135,1
57379,1
57535,1
57716,1
5783,1
5799,1
6442,1
64788,1
6492,1
65059,1
6584,1
66002,1
6756,1
6759,1
6787,1
6891,1
7173,1
7223,1
7227,1
7350,1
7364,1
7380,1
7481,1
7486,1
7504,1
774,1
79071,1
7918,1
7979,1
8110,1
8139,1
81537,1
81569,1
83439,1
83660,1
84898,1
8618,1
8647,1
8712,1
890,1
90381,1
9046,1
9103,1
91179,1
9154,1
9156,1
9258,1
9358,1
9376,1
939,1
944,1
9452,1
9499,1
9757,1
9896,1
990,1
9989,1
9990,1
137814,1
140628,1
1482,1
2303,1
2657,1
6899,1
8928,1
9464,1
2495,1
2668,1
2948,1
2949,1
347,1
351,1
3620,1
4257,1
5311,1
5413,1
54902,1
5663,1
56894,1
6709,1
8942,1
9118,1
56475,1
6548,1
81696,1
10327,1
11315,1
333929,1
34,1
4942,1
6652,1
133522,1
155,1
3990,1
4010,1
107,1
11228,1
121256,1
169044,1
1993,1
201229,1
2045,1
22982,1
23314,1
2899,1
3642,1
429,1
55605,1
57088,1
57683,1
7161,1
8570,1
862,1
9425,1
9699,1
9774,1
101927235,1
102724058,1
1106,1
112755,1
1128,1
1131,1
2081,1
22953,1
23271,1
2348,1
2354,1
26053,1
2904,1
348980,1
3611,1
375449,1
3756,1
3785,1
5099,1
57282,1
57526,1
6323,1
6326,1
6334,1
6415,1
6506,1
7416,1
7417,1
79944,1
8404,1
8514,1
204,1
5896,1
5897,1
64421,1
2138,1
25836,1
2767,1
2776,1
2812,1
4624,1
5308,1
55315,1
6910,1
7353,1
865,1
9839,1
126393,1
146862,1
3065,1
4689,1
488,1
522,1
5683,1
57104,1
5739,1
5916,1
6508,1
8841,1
8927,1
9294,1
1236,1
1452,1
1457,1
1460,1
1880,1
22807,1
2534,1
3181,1
3195,1
332,1
5335,1
7014,1
7409,1
84433,1
3594,1
3595,1
4664,1
5450,1
6689,1
730109,1
84961,1
8986,1
1723,1
3040,1
790,1
2222,1
23780,1
79571,1
801,1
805,1
816,1
10142,1
287,1
3753,1
3759,1
6640,1
9992,1
10672,1
10693,1
10841,1
27113,1
27164,1
5091,1
5295,1
53947,1
5979,1
6929,1
117190,1
2619,1
3244,1
4838,1
57045,1
6469,1
6496,1
6997,1
7050,1
10269,1
23607,1
4358,1
4628,1
64423,1
81,1
3064,1
51447,1
9131,1
1116,1
1475,1
1501,1
1513,1
23512,1
2355,1
26136,1
3020,1
4194,1
5292,1
648,1
8358,1
8434,1
9611,1
2887,1
388,1
6660,1
100316847,1
100415894,1
100415895,1
100533107,1
137196,1
1657,1
1755,1
23187,1
23362,1
338030,1
404685,1
4192,1
4916,1
5347,1
5894,1
79782,1
8493,1
90,1
9211,1
10069,1
10215,1
10311,1
10317,1
10600,1
10694,1
11096,1
116159,1
116448,1
150082,1
1637,1
1859,1
2114,1
23515,1
23562,1
2551,1
25825,1
25966,1
2623,1
26285,1
2897,1
29104,1
29980,1
30811,1
3141,1
3150,1
3454,1
3763,1
3772,1
406947,1
4600,1
4685,1
5121,1
53820,1
539,1
54014,1
54069,1
54093,1
54097,1
54101,1
54102,1
54148,1
54943,1
56246,1
56911,1
571,1
57466,1
58494,1
63977,1
6450,1
6453,1
6493,1
64968,1
7074,1
7267,1
7485,1
757,1
8624,1
874,1
8867,1
9073,1
94104,1
9510,1
9551,1
9875,1
9946,1
9980,1
101929279,1
5644,1
79710,1
9075,1
2593,1
5625,1
5723,1
728294,1
79048,1
9056,1
2057,1
5168,1
7175,1
7799,1
80142,1
8031,1
10699,1
150142,1
219736,1
2259,1
23077,1
23526,1
23564,1
3624,1
5177,1
780908,1
780909,1
10058,1
1013,1
104,1
10454,1
10468,1
10772,1
11173,1
113251,1
114822,1
1164,1
116840,1
126306,1
131566,1
1364,1
144577,1
146433,1
146664,1
147906,1
151354,1
158314,1
164395,1
1645,1
1646,1
170394,1
171558,1
1756,1
1995,1
22924,1
23112,1
23162,1
2324,1
23658,1
2492,1
2529,1
2549,1
256472,1
256933,1
257106,1
2661,1
286749,1
29127,1
29997,1
30000,1
3070,1
3084,1
338324,1
347088,1
349565,1
374920,1
374955,1
3850,1
388552,1
3973,1
3976,1
441151,1
4544,1
466,1
4796,1
5120,1
5140,1
54206,1
54443,1
54947,1
55165,1
55503,1
55721,1
55872,1
56946,1
5724,1
5733,1
57449,1
57455,1
57636,1
57706,1
57731,1
5862,1
5869,1
6168,1
6241,1
6286,1
63892,1
653545,1
6665,1
6770,1
6939,1
7272,1
7755,1
79039,1
79685,1
79694,1
79906,1
80127,1
80264,1
8091,1
84376,1
8463,1
84909,1
8572,1
891,1
90326,1
90668,1
9134,1
91608,1
9200,1
9205,1
9210,1
93659,1
27429,1
57447,1
120,1
23765,1
41,1
8655,1
3039,1
10133,1
1435,1
23165,1
5131,1
81501,1
8878,1
94003,1
4511,1
4558,1
4574,1
4719,1
4553,1
4569,1
11156,1
143,1
160728,1
1670,1
2122,1
219,1
2203,1
23236,1
2535,1
2596,1
27035,1
28234,1
29950,1
30011,1
3484,1
3604,1
3679,1
4171,1
4224,1
430,1
4316,1
5268,1
54739,1
553158,1
5608,1
57381,1
5981,1
6280,1
6364,1
6566,1
6580,1
6714,1
6941,1
72,1
80196,1
8313,1
8549,1
9235,1
10319,1
80169,1
8635,1
8851,1
9152,1
6569,1
799,1
846,1
100196919,1
10188,1
10897,1
1124,1
1149,1
116966,1
117159,1
121551,1
128439,1
130814,1
153129,1
158038,1
166336,1
168002,1
170691,1
192286,1
1948,1
201163,1
22996,1
23302,1
23386,1
23404,1
23593,1
2705,1
283927,1
302,1
3054,1
310,1
325,1
339896,1
342945,1
3875,1
407021,1
4645,1
51201,1
51491,1
5357,1
57628,1
5800,1
641371,1
6725,1
7204,1
7358,1
79879,1
8100,1
81572,1
83597,1
84263,1
8916,1
9215,1
9317,1
10659,1
10987,1
26270,1
4924,1
7415,1
79139,1
8451,1
8454,1
9978,1
3350,1
5153,1
5368,1
57030,1
57084,1
6855,1
84282,1
2200,1
4053,1
392255,1
501,1
6297,1
71,1
9158,1
100271687,1
100271693,1
10063,1
10919,1
1143,1
116285,1
1291,1
1796,1
2018,1
2305,1
253650,1
345,1
3476,1
407035,1
407041,1
450093,1
4800,1
5002,1
541471,1
5519,1
55259,1
5609,1
6362,1
7011,1
7276,1
7428,1
79930,1
84864,1
8517,1
900,1
9940,1
100126594,1
2563,1
3786,1
449018,1
50715,1
785,1
100381270,1
100507118,1
101927835,1
101928292,1
102724536,1
10717,1
11086,1
124359,1
126549,1
129080,1
1496,1
152110,1
1879,1
2066,1
22913,1
252983,1
27324,1
29086,1
3783,1
400406,1
4214,1
440193,1
5083,1
5283,1
57591,1
59352,1
63876,1
647121,1
6478,1
64858,1
7140,1
729582,1
79068,1
79931,1
80129,1
8028,1
8178,1
81847,1
83539,1
84142,1
9055,1
91433,1
91768,1
9497,1
9877,1
10010,1
1003,1
100506658,1
102,1
10236,1
10297,1
10381,1
10457,1
10542,1
1063,1
10660,1
11065,1
1294,1
131965,1
135228,1
138046,1
1436,1
151647,1
152273,1
161424,1
1825,1
1869,1
1933,1
1942,1
196403,1
200315,1
2004,1
2050,1
2063,1
208,1
2091,1
2101,1
2173,1
221687,1
2248,1
2249,1
2274,1
23136,1
23339,1
23406,1
26150,1
26508,1
26986,1
27098,1
27246,1
2771,1
2852,1
2877,1
2879,1
28957,1
28998,1
2921,1
2977,1
3006,1
3014,1
3090,1
318,1
3190,1
3191,1
3273,1
3488,1
353,1
369,1
3996,1
400500,1
406894,1
406902,1
406913,1
406914,1
406921,1
406933,1
406938,1
406984,1
406985,1
406988,1
406989,1
406996,1
407006,1
407007,1
407013,1
4240,1
442909,1
442910,1
4504,1
4829,1
4835,1
4904,1
5047,1
5058,1
50618,1
51081,1
51466,1
51649,1
5300,1
54567,1
554210,1
56100,1
5655,1
56942,1
56945,1
573,1
574442,1
57561,1
5935,1
5965,1
6147,1
6160,1
6191,1
6194,1
6199,1
6201,1
6202,1
6236,1
6257,1
63943,1
6422,1
6423,1
6425,1
6470,1
65005,1
6518,1
659,1
6591,1
6615,1
6623,1
7025,1
7057,1
708,1
7087,1
7424,1
7468,1
7480,1
7516,1
7818,1
80306,1
8065,1
80774,1
81031,1
8347,1
840,1
8438,1
84866,1
84870,1
85236,1
8614,1
8863,1
8871,1
8894,1
898,1
9048,1
9076,1
9185,1
92140,1
92483,1
9473,1
9590,1
9623,1
9668,1
972,1
9754,1
978,1
9801,1
9821,1
10135,1
10203,1
10261,1
10437,1
10875,1
133418,1
2215,1
22822,1
23460,1
2533,1
4084,1
4222,1
4360,1
4814,1
51284,1
5996,1
6303,1
6363,1
63924,1
6480,1
6769,1
7378,1
8140,1
8564,1
9168,1
4594,1
5826,1
64902,1
6906,1
5578,1
100507098,1
101927119,1
102060414,1
102724766,1
10452,1
114902,1
1295,1
1300,1
221294,1
23539,1
341,1
3426,1
387715,1
389641,1
55013,1
5654,1
5819,1
5978,1
6239,1
64802,1
6499,1
7046,1
7936,1
81579,1
10102,1
137735,1
150094,1
1824,1
282996,1
3688,1
4607,1
5664,1
5973,1
64651,1
7134,1
7709,1
7840,1
84665,1
1119,1
25828,1
5077,1
5110,1
5130,1
57216,1
2548,1
4633,1
4635,1
58498,1
6902,1
10806,1
11020,1
129880,1
166379,1
22954,1
27241,1
51057,1
54585,1
54903,1
55212,1
582,1
585,1
79738,1
80184,1
8195,1
91147,1
92482,1
100996521,1
1017,1
10557,1
10589,1
10743,1
10963,1
11098,1
114795,1
116071,1
116150,1
1207,1
128869,1
160762,1
161291,1
1630,1
170589,1
172,1
1823,1
1896,1
202559,1
2035,1
2185,1
220929,1
221074,1
221079,1
222537,1
22914,1
23270,1
23742,1
245806,1
25842,1
26472,1
26503,1
26507,1
283130,1
283316,1
285761,1
29103,1
29901,1
30062,1
3205,1
3238,1
3371,1
338398,1
340273,1
3619,1
3820,1
3958,1
402,1
405,1
4241,1
4293,1
5078,1
51501,1
5305,1
5332,1
53353,1
54663,1
55149,1
55331,1
5537,1
55504,1
55862,1
56128,1
56925,1
57016,1
57120,1
57678,1
57700,1
58189,1
5922,1
6188,1
6392,1
64215,1
64799,1
6494,1
6538,1
6860,1
7365,1
740,1
7536,1
79852,1
80070,1
8029,1
80723,1
823,1
8295,1
83638,1
8398,1
84285,1
843,1
8452,1
8558,1
9088,1
9610,1
9689,1
9712,1
9832,1
9846,1
9869,1
9947,1
10803,1
23,1
3554,1
3568,1
5196,1
6361,1
6369,1
6374,1
959,1
149775,1
26249,1
7830,1
8675,1
11010,1
129563,1
255738,1
283120,1
4810,1
102800310,1
25976,1
401022,1
4978,1
8631,1
92421,1
101927688,1
1062,1
1618,1
55159,1
63978,1
6793,1
8093,1
8888,1
9534,1
9673,1
1082,1
2488,1
5424,1
6866,1
23237,1
5173,1
6927,1
8131,1
100288687,1
22947,1
23347,1
2483,1
3308,1
4060,1
100131315,1
100996485,1
101805488,1
101927324,1
10714,1
120376,1
171472,1
283050,1
3911,1
399948,1
4092,1
4512,1
51474,1
5157,1
64359,1
745,1
80114,1
80776,1
81928,1
85415,1
10152,1
1593,1
3269,1
337,1
4048,1
470,1
100130503,1
10111,1
101928940,1
101928947,1
101929231,1
11127,1
117,1
117156,1
134430,1
149628,1
169026,1
222256,1
23108,1
23194,1
25890,1
284110,1
286046,1
30009,1
3135,1
3176,1
387129,1
414764,1
4589,1
5089,1
51088,1
51131,1
55876,1
5592,1
5660,1
6037,1
60495,1
6490,1
6701,1
7145,1
85480,1
8989,1
94103,1
1829,1
27063,1
3920,1
4563,1
4565,1
4634,1
57158,1
88,1
91624,1
1459,1
2709,1
360,1
3713,1
3848,1
3858,1
4014,1
6667,1
8843,1
100128590,1
100130950,1
100289673,1
10082,1
101927587,1
101929423,1
102465508,1
10347,1
10418,1
10658,1
10858,1
10979,1
114876,1
123041,1
161,1
168667,1
1718,1
1808,1
196051,1
1965,1
2041,1
222255,1
22976,1
23026,1
23072,1
23215,1
23385,1
23413,1
23621,1
2567,1
25902,1
26330,1
267,1
27115,1
27328,1
274,1
285965,1
28969,1
29780,1
323,1
338645,1
3416,1
343641,1
3492,1
353128,1
3635,1
388325,1
400511,1
4336,1
450086,1
498,1
51338,1
54209,1
54798,1
54828,1
55063,1
55351,1
55676,1
56776,1
5697,1
57091,1
57569,1
57687,1
60412,1
642,1
64231,1
644135,1
644873,1
64851,1
6517,1
6653,1
7019,1
7447,1
7782,1
780912,1
79660,1
79789,1
80320,1
8081,1
8301,1
84888,1
8738,1
8913,1
9019,1
932,1
9325,1
945,1
9498,1
9705,1
100131801,1
116228,1
1340,1
1352,1
22868,1
28958,1
4570,1
84334,1
84987,1
57560,1
84839,1
1103,1
30813,1
4543,1
7070,1
8322,1
10850,1
11004,1
1394,1
1520,1
2167,1
2312,1
23657,1
30968,1
3108,1
3621,1
3849,1
3851,1
5008,1
51311,1
5266,1
54578,1
54658,1
5718,1
6279,1
6288,1
6318,1
7177,1
8544,1
8744,1
9759,1
100874011,1
101927260,1
101927774,1
102465537,1
129446,1
151887,1
284382,1
339400,1
386653,1
5017,1
54778,1
5599,1
6367,1
63940,1
100188836,1
100188877,1
100507308,1
23293,1
23316,1
338334,1
387573,1
387584,1
387585,1
388165,1
3988,1
51530,1
55219,1
55973,1
57608,1
65264,1
6943,1
80350,1
80724,1
84439,1
84624,1
84722,1
8613,1
8882,1
91851,1
100188853,1
100188854,1
10376,1
10487,1
10576,1
10584,1
10935,1
11138,1
11343,1
220164,1
2244,1
25796,1
2597,1
2820,1
338382,1
348751,1
4860,1
5019,1
5315,1
5906,1
6251,1
7094,1
7171,1
7414,1
7471,1
92344,1
9948,1
112616,1
1431,1
152,1
161725,1
2053,1
2660,1
478,1
487,1
5170,1
5502,1
554,1
90226,1
5892,1
10308,1
10443,1
118856,1
22902,1
23043,1
29896,1
414062,1
4616,1
4714,1
54345,1
54469,1
55422,1
56547,1
57162,1
5806,1
5991,1
6498,1
6730,1
6742,1
7109,1
7324,1
79101,1
8554,1
8975,1
9034,1
9562,1
125972,1
5318,1
79188,1
6446,1
10047,1
1831,1
2054,1
2516,1
29102,1
339345,1
346562,1
387712,1
54898,1
6795,1
79730,1
83756,1
10398,1
10848,1
55512,1
55904,1
8877,1
1001,1
100529151,1
100996583,1
10109,1
10544,1
10747,1
11261,1
120400,1
132612,1
146198,1
159296,1
1611,1
1671,1
1811,1
1893,1
201266,1
219771,1
23252,1
3172,1
327,1
345611,1
3579,1
400935,1
4485,1
4584,1
51460,1
5334,1
54546,1
55801,1
646982,1
647215,1
8209,1
84441,1
8807,1
8924,1
10346,1
10410,1
10964,1
24138,1
2537,1
2633,1
27348,1
3429,1
3430,1
3433,1
3434,1
3437,1
3665,1
4938,1
4939,1
4940,1
51191,1
5359,1
54809,1
54877,1
55008,1
55601,1
64108,1
64761,1
6614,1
710,1
7503,1
80830,1
8638,1
9246,1
9636,1
134728,1
1609,1
55023,1
100874137,1
10242,1
10562,1
116984,1
132989,1
151194,1
1639,1
1804,1
201161,1
203228,1
22920,1
23025,1
23435,1
23503,1
2521,1
25978,1
27148,1
283,1
284085,1
29110,1
29978,1
3178,1
347736,1
3680,1
3909,1
400916,1
51163,1
5446,1
56241,1
5630,1
5648,1
643339,1
6487,1
6529,1
8821,1
9181,1
9217,1
9331,1
9764,1
9782,1
100126309,1
123264,1
1581,1
200931,1
406884,1
406891,1
406920,1
406961,1
406965,1
407000,1
407012,1
407019,1
407055,1
442905,1
494323,1
494326,1
5603,1
5962,1
644,1
693121,1
7376,1
80270,1
9002,1
9962,1
9963,1
147381,1
2629,1
406987,1
4093,1
7166,1
768,1
10342,1
1964,1
2304,1
23085,1
51079,1
5108,1
5987,1
7849,1
8030,1
8805,1
9950,1
6868,1
8174,1
10395,1
25788,1
5782,1
5795,1
699,1
26228,1
336,1
100188790,1
100188851,1
101927066,1
10335,1
192115,1
23484,1
317773,1
337892,1
338567,1
387576,1
4326,1
51253,1
57574,1
63976,1
79723,1
8645,1
8976,1
100270680,1
10723,1
10735,1
119391,1
140767,1
146177,1
1580,1
2026,1
225689,1
255022,1
26259,1
27127,1
290,1
341568,1
3670,1
374887,1
3868,1
387,1
389289,1
3978,1
4108,1
4489,1
50807,1
513,1
51479,1
55252,1
5646,1
5690,1
57412,1
7874,1
84171,1
84966,1
9649,1
1302,1
8772,1
116519,1
157273,1
23644,1
2590,1
3159,1
3358,1
3929,1
3992,1
57761,1
57818,1
7021,1
746,1
84811,1
10634,1
10801,1
11040,1
11168,1
113,1
11326,1
1495,1
1522,1
2308,1
23365,1
26511,1
3005,1
30845,1
309,1
375790,1
4066,1
4291,1
4629,1
4928,1
51428,1
51510,1
53826,1
54904,1
55740,1
6281,1
6455,1
6688,1
6840,1
6919,1
7837,1
79870,1
8021,1
81552,1
824,1
8623,1
8833,1
8847,1
9163,1
100505495,1
100846978,1
101867536,1
101928075,1
101928165,1
101929081,1
102724596,1
11074,1
170626,1
173,1
201625,1
2048,1
220972,1
22834,1
22995,1
23035,1
253461,1
254428,1
26019,1
26575,1
29841,1
357,1
3782,1
390443,1
4739,1
51426,1
54847,1
55204,1
55275,1
64641,1
64759,1
727677,1
728114,1
79083,1
79954,1
81603,1
84071,1
84619,1
102724265,1
10404,1
10950,1
11214,1
11236,1
120892,1
1265,1
142685,1
144132,1
158584,1
2034,1
23037,1
23042,1
23224,1
25844,1
25953,1
283092,1
284013,1
3035,1
317,1
343930,1
374393,1
3855,1
3882,1
3897,1
4286,1
5162,1
5230,1
55367,1
5546,1
55745,1
6261,1
6921,1
7030,1
79026,1
79444,1
835,1
8407,1
84925,1
8633,1
8790,1
89795,1
9045,1
91661,1
91662,1
95,1
9745,1
10399,1
1834,1
23410,1
3678,1
3854,1
3963,1
56952,1
90417,1
100302142,1
10087,1
10179,1
10568,1
1113,1
152002,1
1540,1
1845,1
23028,1
23603,1
25878,1
2696,1
29968,1
3956,1
407031,1
4320,1
54458,1
55743,1
558,1
57099,1
5829,1
6009,1
6385,1
63895,1
6472,1
693223,1
7262,1
79887,1
9180,1
9470,1
259,1
3274,1
101927078,1
253017,1
254827,1
3781,1
79682,1
79934,1
80271,1
8190,1
90390,1
1184,1
1514,1
2990,1
5062,1
94025,1
16,1
1785,1
23064,1
26353,1
3300,1
4141,1
4359,1
4747,1
54332,1
6305,1
65055,1
79628,1
81857,1
90678,1
91137,1
9927,1
3762,1
489,1
54822,1
9049,1
1991,1
7172,1
84522,1
148022,1
5016,1
545,1
5803,1
64072,1
64699,1
64711,1
761,1
8290,1
9466,1
10050,1
149773,1
257160,1
56955,1
6272,1
9159,1
100129940,1
100188782,1
100526783,1
101927736,1
101928423,1
10239,1
102725019,1
10296,1
1036,1
10363,1
10644,1
10984,1
11124,1
11132,1
116985,1
145741,1
1607,1
162515,1
169792,1
201232,1
204010,1
26086,1
26276,1
2642,1
2645,1
284217,1
286,1
2888,1
3263,1
3375,1
3767,1
388125,1
4760,1
4825,1
5066,1
50982,1
5126,1
5167,1
5184,1
54622,1
54901,1
5506,1
55656,1
5629,1
56999,1
5770,1
5937,1
6000,1
6049,1
60685,1
619554,1
6277,1
63826,1
6445,1
646736,1
6833,1
723961,1
728723,1
7325,1
7466,1
80003,1
80790,1
83795,1
8660,1
89822,1
92002,1
92737,1
94241,1
9479,1
9559,1
2815,1
1107,1
3561,1
6195,1
65980,1
101928236,1
114803,1
2572,1
266722,1
285600,1
339529,1
58504,1
2782,1
390275,1
4886,1
594857,1
6531,1
9607,1
9848,1
6596,1
883,1
101929582,1
101929620,1
131034,1
145820,1
221935,1
29951,1
604,1
4352,1
7066,1
79679,1
969,1
285,1
5787,1
10389,1
114826,1
23030,1
23081,1
2313,1
474,1
5015,1
51684,1
6046,1
6447,1
6502,1
79813,1
8019,1
83746,1
84456,1
92335,1
10588,1
2252,1
23743,1
3664,1
7341,1
9935,1
1147,1
1739,1
374654,1
4335,1
4487,1
54796,1
6259,1
7043,1
26524,1
57670,1
9113,1
114086,1
6125,1
6135,1
6138,1
6154,1
6165,1
6204,1
6218,1
6229,1
6231,1
6234,1
6235,1
90121,1
167691,1
343035,1
3769,1
9657,1
100312954,1
100507679,1
114836,1
114904,1
115352,1
117189,1
3137,1
3710,1
50976,1
646702,1
7038,1
80862,1
5023,1
3741,1
7478,1
150684,1
4087,1
9973,1
100528032,1
102724748,1
29842,1
337867,1
100128081,1
100506742,1
139716,1
146754,1
22979,1
29121,1
387103,1
4008,1
50604,1
51214,1
55384,1
55423,1
80018,1
8935,1
1828,1
3126,1
3127,1
3827,1
50856,1
100129620,1
100359401,1
10579,1
1665,1
393093,1
399959,1
4285,1
443,1
4990,1
5959,1
646960,1
6641,1
6711,1
6733,1
7434,1
84690,1
144568,1
1969,1
23522,1
6016,1
6654,1
6655,1
8036,1
2746,1
4160,1
10797,1
200942,1
399717,1
5820,1
943,1
1861,1
2774,1
55145,1
55532,1
6342,1
84947,1
3814,1
54556,1
6845,1
8900,1
6915,1
57105,1
170302,1
5277,1
6792,1
9722,1
100313838,1
120227,1
148,1
203286,1
406997,1
407026,1
407030,1
407032,1
442895,1
442913,1
1002,1
100286844,1
100506457,1
100526835,1
100874326,1
101927414,1
101927712,1
101929328,1
102723742,1
10752,1
10840,1
114294,1
115,1
116328,1
1238,1
126567,1
129787,1
130013,1
132789,1
134359,1
1350,1
1361,1
1363,1
137868,1
145264,1
146513,1
151742,1
1528,1
161145,1
161357,1
181,1
1947,1
196475,1
2110,1
2119,1
2180,1
221002,1
22997,1
23057,1
23164,1
23216,1
23331,1
23788,1
2512,1
253260,1
253559,1
257194,1
25861,1
25970,1
26002,1
26009,1
26037,1
2673,1
2780,1
284900,1
285282,1
3033,1
32,1
3215,1
3382,1
342346,1
3428,1
353126,1
364,1
375612,1
3818,1
392636,1
400954,1
400955,1
404266,1
404683,1
406960,1
4145,1
4159,1
4199,1
4673,1
47,1
4808,1
4889,1
497258,1
50650,1
5079,1
50859,1
5101,1
5105,1
5122,1
5346,1
5367,1
54,1
54454,1
54511,1
55129,1
55663,1
55722,1
5577,1
5619,1
56623,1
56694,1
57118,1
57521,1
63027,1
641808,1
645355,1
64756,1
65065,1
6905,1
732275,1
7385,1
79047,1
79874,1
79949,1
80125,1
80216,1
8165,1
84318,1
84795,1
8522,1
85378,1
8801,1
8803,1
89766,1
89853,1
9194,1
92196,1
9672,1
9824,1
9866,1
10412,1
10537,1
163486,1
3385,1
6522,1
954,1
10060,1
2010,1
3336,1
359,1
51422,1
5164,1
5600,1
6443,1
6444,1
7533,1
85366,1
1736,1
26277,1
54433,1
55135,1
55505,1
55651,1
79650,1
4256,1
10392,1
4773,1
55738,1
6315,1
6571,1
84254,1
101928354,1
386607,1
5756,1
64919,1
80829,1
81345,1
10006,1
10015,1
100507463,1
10051,1
10097,1
10112,1
10146,1
10159,1
10184,1
101929664,1
10228,1
10255,1
10288,1
1033,1
10403,1
10434,1
10473,1
10479,1
10484,1
10492,1
10539,1
10550,1
10564,1
10565,1
1058,1
10610,1
10613,1
10737,1
10874,1
10878,1
10973,1
10988,1
10990,1
11052,1
11130,1
11196,1
11221,1
11339,1
114548,1
114885,1
117178,1
133619,1
159,1
1654,1
178,1
1894,1
2069,1
2123,1
2124,1
2191,1
22797,1
22841,1
22974,1
23167,1
23186,1
23244,1
23405,1
23463,1
23471,1
23530,1
23531,1
2359,1
24137,1
2526,1
253943,1
2553,1
2585,1
2589,1
25939,1
25994,1
26031,1
26135,1
2632,1
27299,1
2799,1
28966,1
29015,1
29028,1
29887,1
29902,1
29929,1
29957,1
30001,1
3015,1
3071,1
3074,1
3078,1
313,1
3590,1
3597,1
3612,1
3673,1
3832,1
3838,1
3903,1
3936,1
4001,1
4076,1
407977,1
4121,1
4125,1
4144,1
4154,1
4200,1
4332,1
4542,1
4591,1
4811,1
51133,1
51167,1
51203,1
51290,1
51313,1
51368,1
51379,1
51435,1
51444,1
515,1
51571,1
51582,1
51714,1
51719,1
51727,1
51762,1
51809,1
5229,1
5250,1
526,1
5284,1
5352,1
54107,1
54149,1
54407,1
54478,1
54491,1
54928,1
54969,1
55010,1
5504,1
55156,1
55197,1
55273,1
55355,1
55379,1
55435,1
55500,1
5552,1
55608,1
55619,1
55706,1
55754,1
55839,1
55916,1
55970,1
5627,1
56833,1
56938,1
56992,1
57018,1
57103,1
57405,1
5791,1
586,1
5873,1
5917,1
5999,1
60343,1
6036,1
60498,1
6059,1
6120,1
63933,1
64092,1
64151,1
64747,1
64844,1
64924,1
65084,1
6574,1
6643,1
6745,1
6856,1
695,1
7035,1
7045,1
728,1
7323,1
7326,1
7456,1
7462,1
7525,1
7534,1
7690,1
7803,1
7805,1
7884,1
79017,1
79157,1
79624,1
79647,1
79666,1
79709,1
80183,1
8038,1
8050,1
8061,1
80896,1
8099,1
81533,1
81542,1
81553,1
81555,1
81578,1
81671,1
81930,1
830,1
83737,1
8406,1
8445,1
8450,1
8477,1
8487,1
8540,1
8673,1
8741,1
8761,1
8826,1
8869,1
8897,1
8914,1
892,1
9050,1
912,1
9133,1
917,1
920,1
9201,1
9212,1
92342,1
9326,1
9375,1
9435,1
9447,1
9493,1
951,1
9516,1
9526,1
9555,1
963,1
9768,1
9770,1
9787,1
983,1
9833,1
9837,1
9889,1
991,1
9926,1
9928,1
100124700,1
10131,1
10148,1
1032,1
10330,1
10528,1
11197,1
116135,1
1182,1
1201,1
125997,1
1642,1
1798,1
1915,1
1917,1
2266,1
2286,1
23201,1
23246,1
245972,1
26137,1
27034,1
27131,1
